months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,total_claims,days_as_customer,high_risk
60,23,11/20/97,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,1/22/15,Single Vehicle Collision,Rear Collision,3,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N,56520,6272,0
121,34,10/26/12,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,1/8/15,Parked Car,?,1,Unknown,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,7280,804,0
180,38,12/28/98,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,1/15/15,Single Vehicle Collision,Rear Collision,3,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,46200,5862,0
473,58,10/19/92,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,1/29/15,Multi-vehicle Collision,Side Collision,2,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,63120,8137,1
70,26,6/8/05,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,2/22/15,Multi-vehicle Collision,Rear Collision,2,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,52110,3546,0
140,31,11/15/04,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,1/6/15,Single Vehicle Collision,Side Collision,3,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,77880,3704,1
160,37,12/28/14,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,1/19/15,Single Vehicle Collision,Side Collision,3,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,72930,22,1
196,39,8/2/92,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,2/22/15,Multi-vehicle Collision,Side Collision,2,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,60400,8239,1
460,62,6/25/02,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,1/1/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,47160,4573,0
217,41,11/27/05,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,2/10/15,Multi-vehicle Collision,Side Collision,3,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,1996,N,37840,3362,0
370,55,5/27/94,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,1/11/15,Multi-vehicle Collision,Rear Collision,2,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,71520,7534,1
413,55,2/8/91,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,1/19/15,Single Vehicle Collision,Front Collision,3,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,88400.65,8180,16360,73620,Dodge,RAM,2011,Y,98160,8746,1
237,40,2/2/96,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,2/24/15,Single Vehicle Collision,Rear Collision,1,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,77880,6962,1
8,35,12/5/13,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,1/9/15,Multi-vehicle Collision,Rear Collision,2,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,71500,400,1
257,43,9/20/90,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,1/28/15,Parked Car,?,1,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,9020,8896,0
202,34,7/18/02,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,1/7/15,Vehicle Theft,?,1,Unknown,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,?,5720,1040,520,4160,Suburu,Forrestor,2003,Y,5720,4556,0
224,40,2/8/90,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,1/8/15,Single Vehicle Collision,Side Collision,1,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,69840,9100,1
241,45,3/4/14,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,2/15/15,Single Vehicle Collision,Rear Collision,1,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,88400.65,14100,14100,63450,Accura,TL,2011,N,91650,348,1
64,25,2/18/00,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,1/18/15,Multi-vehicle Collision,Side Collision,2,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,N,75600,5448,1
166,37,6/19/08,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,2/28/15,Multi-vehicle Collision,Side Collision,2,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,F150,2006,Y,67140,2445,1
155,35,8/1/03,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,2/24/15,Multi-vehicle Collision,Front Collision,3,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,29790,4225,0
114,30,4/4/92,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,1/9/15,Multi-vehicle Collision,Front Collision,2,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,Impreza,2015,N,77110,8315,1
149,37,1/13/91,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,2/12/15,Single Vehicle Collision,Side Collision,3,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N,64800,8796,1
147,33,8/8/10,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,1/24/15,Single Vehicle Collision,Front Collision,2,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y,53100,1630,0
62,28,3/9/03,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,1/9/15,Single Vehicle Collision,Rear Collision,3,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y,60200,4324,1
289,49,2/3/93,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,1/18/15,Parked Car,?,1,Unknown,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,5330,8019,0
431,54,11/25/02,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,1/21/15,Multi-vehicle Collision,Rear Collision,2,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,2007,N,62300,4440,1
199,37,7/27/97,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,1/8/15,Single Vehicle Collision,Front Collision,2,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y,60170,6374,1
79,26,5/8/95,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,1/3/15,Single Vehicle Collision,Rear Collision,1,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,2010,N,40000,7180,0
116,34,8/30/12,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,1/1/15,Single Vehicle Collision,Side Collision,2,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,88400.65,16180,16180,64720,BMW,X5,2001,Y,97080,854,1
37,23,4/30/06,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,1/16/15,Multi-vehicle Collision,Side Collision,1,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,51660,3183,0
106,30,4/13/03,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,2/10/15,Single Vehicle Collision,Rear Collision,3,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,51120,4321,0
269,44,12/5/07,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,2/14/15,Single Vehicle Collision,Front Collision,1,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,Highlander,2014,N,56400,2628,0
265,40,8/21/06,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,2/21/15,Multi-vehicle Collision,Rear Collision,3,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120,6890,0,48230,Accura,MDX,2002,N,55120,3106,0
163,33,1/8/90,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,2/18/15,Multi-vehicle Collision,Rear Collision,3,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,2014,N,77110,9172,1
355,47,3/18/90,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,1/10/15,Multi-vehicle Collision,Front Collision,2,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y,62800,9064,1
175,34,1/7/08,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,2/26/15,Vehicle Theft,?,0,Police,NY,Arlington,6619 Flute Ave,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,7290,2607,0
192,35,3/10/97,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,1/1/15,Single Vehicle Collision,Rear Collision,3,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,C300,2000,N,76600,6506,1
430,59,1/10/04,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,1/3/15,Multi-vehicle Collision,Front Collision,1,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,81800,4011,1
91,27,8/20/94,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,1/17/15,Vehicle Theft,?,0,Unknown,NY,Arlington,2280 4th Ave,4,1,?,1,2,?,7260,1320,660,5280,BMW,M5,2008,N,7260,7455,0
217,39,6/2/02,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,2/22/15,Vehicle Theft,?,1,Unknown,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,4300,4648,0
223,40,4/28/94,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,1/27/15,Multi-vehicle Collision,Side Collision,2,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,1999,N,70510,7579,1
195,39,8/17/14,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,2/27/15,Parked Car,?,1,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N,2640,194,0
22,26,8/11/07,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,1/6/15,Single Vehicle Collision,Rear Collision,1,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,78900,2705,1
439,56,11/20/08,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,2/28/15,Multi-vehicle Collision,Front Collision,2,Fire,SC,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,CRV,2014,N,56430,2291,0
94,32,10/18/95,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,2/22/15,Parked Car,?,1,Unknown,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,2400,7067,0
11,39,5/19/93,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,1/7/15,Single Vehicle Collision,Front Collision,3,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N,65790,7903,1
151,36,2/26/05,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,1/6/15,Multi-vehicle Collision,Side Collision,1,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N,62920,3601,1
154,34,2/14/90,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,1/10/15,Multi-vehicle Collision,Rear Collision,2,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Maxima,2014,Y,69480,9096,1
245,44,9/30/93,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,2/11/15,Multi-vehicle Collision,Side Collision,3,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N,44280,7804,0
119,32,6/10/14,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,1/12/15,Single Vehicle Collision,Side Collision,1,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N,56300,216,0
215,42,10/28/08,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,2/6/15,Multi-vehicle Collision,Front Collision,2,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y,68520,2292,1
295,42,4/24/07,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,1/20/15,Multi-vehicle Collision,Rear Collision,3,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y,59130,2828,1
254,39,12/13/93,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,2/22/15,Multi-vehicle Collision,Front Collision,1,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y,82320,7741,1
107,31,8/17/11,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,1/30/15,Single Vehicle Collision,Side Collision,1,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,88400.65,13800,13800,62100,Audi,A5,2009,Y,89700,1262,1
478,64,8/20/90,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,2/2/15,Multi-vehicle Collision,Side Collision,1,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N,33930,8932,0
128,30,2/11/94,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,1/10/15,Single Vehicle Collision,Front Collision,2,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N,68530,7638,1
338,49,2/22/94,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,2/27/15,Parked Car,?,1,Unknown,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,?,4300,860,860,2580,Ford,F150,2004,N,4300,7675,0
271,42,8/15/11,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,2/20/15,Multi-vehicle Collision,Side Collision,2,Other,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,2003,Y,68310,1285,1
222,41,11/11/98,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,2/8/15,Single Vehicle Collision,Front Collision,3,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,Y,61290,5933,1
199,41,12/4/95,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,2/11/15,Single Vehicle Collision,Rear Collision,1,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N,30100,7009,0
215,37,12/28/02,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,2/23/15,Multi-vehicle Collision,Rear Collision,1,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002,N,57120,4440,0
192,40,4/15/04,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,3/1/15,Multi-vehicle Collision,Side Collision,1,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005,N,42930,3972,0
120,35,2/2/01,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,1/15/15,Multi-vehicle Collision,Front Collision,3,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010,N,51210,5095,0
270,45,1/12/10,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,1/14/15,Multi-vehicle Collision,Front Collision,1,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,88400.65,14900,7450,67050,Suburu,Legacy,1998,N,89400,1828,1
319,47,4/14/92,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,2/17/15,Multi-vehicle Collision,Front Collision,3,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,A3,2005,N,59730,8344,1
194,39,5/21/10,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,1/24/15,Vehicle Theft,?,1,Unknown,SC,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,95,2004,N,8060,1709,0
227,38,10/27/13,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,1/21/15,Single Vehicle Collision,Rear Collision,2,Fire,SC,Northbrook,6530 Weaver Ave,16,1,?,1,2,?,72200,14440,7220,50540,BMW,M5,2013,Y,72200,451,1
137,31,10/12/94,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,2/19/15,Multi-vehicle Collision,Side Collision,1,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005,N,50800,7435,0
244,40,7/4/97,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,1/3/15,Vehicle Theft,?,0,Unknown,NC,Northbrook,7098 Lincoln Hwy,10,1,?,2,1,?,6600,660,1320,4620,Accura,TL,2005,N,6600,6392,0
78,29,2/15/11,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,1/29/15,Vehicle Theft,?,1,Police,NY,Northbrook,5124 Maple St,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,N,7500,1444,0
200,35,8/21/94,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,1/19/15,Vehicle Theft,?,0,Unknown,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N,6490,7456,0
284,48,5/15/97,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,1/19/15,Multi-vehicle Collision,Side Collision,2,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,?,2,3,NO,60940,5540,11080,44320,Audi,A3,2013,Y,60940,6458,1
275,41,10/26/96,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,2/2/15,Multi-vehicle Collision,Front Collision,2,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,?,58300,5830,11660,40810,Suburu,Legacy,2007,N,58300,6673,1
153,34,3/4/06,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,1/30/15,Multi-vehicle Collision,Front Collision,1,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,F150,2007,N,68400,3254,1
134,32,1/2/91,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,1/8/15,Single Vehicle Collision,Side Collision,3,Fire,VA,Springfield,2087 Apache Ave,2,1,?,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015,N,64240,8772,1
31,36,8/15/99,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,1/30/15,Parked Car,?,0,Unknown,WV,Arlington,5540 Sky St,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,Neon,2002,N,4700,5647,0
41,25,1/15/92,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,1/7/15,Multi-vehicle Collision,Side Collision,2,Other,SC,Columbus,7238 2nd St,12,3,YES,2,0,?,45120,0,5640,39480,Accura,MDX,2011,Y,45120,8393,0
127,29,12/7/99,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,2/24/15,Multi-vehicle Collision,Front Collision,3,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,?,66950,10300,10300,46350,Saab,93,1995,N,66950,5558,1
61,23,6/6/93,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,2/2/15,Single Vehicle Collision,Side Collision,2,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,?,88400.65,8940,17880,71520,Honda,Accord,2004,Y,98340,7911,1
207,42,10/3/00,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,2/28/15,Parked Car,?,0,Unknown,WV,Springfield,5260 Francis Drive,9,1,NO,0,1,NO,5900,590,590,4720,BMW,X5,2007,N,5900,5261,0
